Item_ID;UNIT;repeated;New_Cycle;Block;Block_Seq;Grade;Subject;Cycle;Secured_Status;Scaling_Status;Content_Domain;Topic_Area;Topic;Biology_Applying;Biology_Knowing;Biology_Reasoning;Chemistry_Applying;Chemistry_Knowing;Chemistry_Reasoning;Earth_Applying;Earth_Knowing;Earth_Reasoning;Physics_Applying;Physics_Knowing;Physics_Reasoning;Topic;Performance_Objective;Cognitive_Domain;Item_Type;Options;Key;Maximum_Points;Label;derived;a;b;c
S042126;;0;0;S05;09;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;;0;0;0;0;0;0;0;1;0;0;0;0;3;D;Knowing;MC;4;A;1;Gas_increasing_in_atmosphere;0;1.210279426;-0.576773624;0.305760877
S042135;;0;0;S05;13;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;;0;0;0;0;0;0;0;1;0;0;0;0;2;A;Knowing;CR;;;1;Water_cycle_processes;0;1.898063862;-0.642662305;0.279003282
S042164;;0;0;S01;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;C;Knowing;MC;4;B;1;Result_gravitational_pull_of_moon;0;1.80105518;0.205130743;0.210073336
S042176;;0;0;S05;11;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;0;0;1;2;B;Reasoning;CR;;;1;Flasks_contain_fresh_&_salt_water;0;1.587268106;0.579235798;0.076086055
S042182;;0;0;S05;06;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;;0;0;0;0;0;0;0;0;0;0;1;0;1;A;Knowing;MC;4;C;1;Type_of_energy_compressed_spring;0;1.018672118;-2.199341571;0.149738804
S042195;;0;0;S01;11;8;S;4;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;1;C;Applying;CR;;;1;What_is_resistance_in_a_circuit;0;0.368962267;2.466234497;0.008705399
S042210;;0;;S05;10;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;0;1;0;2;D;Knowing;MC;4;C;1;Mass/volume_of_frozen_water__;0;2.230808151;1.776571464;0.329265131
S042211;;0;0;S05;12;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;CR;;;1;Forces_on_student_sitting_on_wall_;0;1.687681297;0.224270644;0.260297472
S042216;;0;0;S01;07;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;;0;0;0;0;0;0;0;0;0;1;0;0;1;D;Applying;MC;4;D;1;Student_reading_a_book;0;0.613761093;1.682228025;0.216521691
S042217;;0;0;S07;15;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;B;1;Shadow_of_a_tree_on_a_sunny_day;0;1.40669588;0.263712202;0.088174481
S042218;;0;0;S07;09;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;MC;4;B;1;Why_does_a_balloon_with_helium_rise;0;1.125187188;0.064765393;0.119054953
S042222A;S042222;0;0;S07;05A;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;;;1;Life_cycle_stage_monarch_grows;0;1.346435179;2.169761041;0.009421447
S042222B;S042222;0;0;S07;05B;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;;;1;Life_cycle_stage_monarch_develops;0;0.809925328;1.211603655;0.023267077
S042222C;S042222;0;0;S07;05C;8;S;4;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;MC;4;B;1;Advantage_for_viceroy_butterfly;0;1.512410144;-0.433599332;0.465833622
S042228A;S042228;0;0;S05;08A;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;;;1;Volume_of_the_neck_chain;0;2.094705145;1.116322101;0.030303802
S042228B;S042228;0;0;S05;08B;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;;;1;Complete_table_3_with_percent_gold;0;0.908435027;-1.927319508;0.01892835
S042228C;S042228;0;0;S05;08C;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2;A;Applying;CR;;;1;Neck_chain_with_most_gold;0;0.690289252;0.260406745;0.003207989
S042257;;0;0;S05;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;C;Knowing;MC;4;B;1;What_causes_the_phases_of_the_moon;0;0.800440711;2.068415165;0.321171451
S042258;;0;0;S01;01;8;S;4;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;C;Applying;MC;4;C;1;Function_lungs-skin-kidneys_share;0;1.453848103;-0.007358609;0.293019153
S042273;;0;0;S07;12;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;CR;;;1;Seeing_lightning_&_hearing_thunder;0;1.231303377;0.231059982;0.008390911
S042280;;0;0;S07;07;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;;0;0;0;0;0;0;0;0;0;0;0;1;2;B;Reasoning;MC;4;D;1;Relative_speed_of_sound;0;1.073904251;-0.589739125;0.00822954
S042293B;;0;0;S01;10B;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;0;0;1;3;C;Reasoning;CR;;;1;Ball_bouncing_up_again;0;1.066615647;2.475507711;0.005548092
S042300A;S042300;0;0;S01;04A;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;CR;;;1;O2-CO2_release-removal:_animals;0;2.616222269;0.11416576;0.063176239
S042300B;;0;;S01;04B;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;CR;;;1;O2-CO2_release-removal:_plants;0;1.648402737;2.426591457;0.125454984
S042300C;S042300;0;0;S01;04C;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;CR;;;1;O2-CO2_release-removal:_photosyn.;0;1.832012762;0.398221726;0.14877496
S042301;;0;0;S07;13;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;;0;0;0;0;0;0;0;1;0;0;0;0;1;B;Knowing;CR;;;1;What_causes_an_earthquake;0;0.889663678;0.01992878;0.007794838
S042312;;0;0;S07;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;C;1;What_rotation_of_Earth_causes;0;0.736447535;0.097284166;0.444721845
S042319;;0;0;S01;05;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;;0;0;1;0;0;0;0;0;0;0;0;0;1;B;Reasoning;CR;;;1;Designing_plant_growth_experiment;0;1.549898226;1.179423667;0.000910596
S042400;;0;0;S01;12;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;C;Applying;CR;;;1;Wood/metal_container_to_keep_ice;0;1.004527889;1.019242601;0.001285516
S042402;;0;0;S05;07;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;A;Applying;CR;;;1;Heat_flow_in_metal_cubes;0;1.025278898;1.930310927;0.023176736
S042406;;0;0;S07;16;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Structure_and_Physical_Features;;0;0;0;0;0;0;1;0;0;0;0;0;1;D;Applying;CR;;;1;Direction_river_flows;0;0.986568272;0.959427682;0.025936974
S042408;;0;0;S05;02;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3;B;Applying;CR;;;1;Birds_can_t_survive_without_plants;0;0.824017096;2.043237747;0.096723314
S052012;;0;1;S01;03;8;S;5;Restricted_Use;Yes;Biology;Ecosystems;;0;1;0;0;0;0;0;0;0;0;0;0;1B;;Knowing;MC;4;B;1;How_decomposers_get_energy;0;1.710188839;0.103805911;0.249061469
S052015A;;0;;S07;05A;8;S;5;Restricted_Use;No;Chemistry;Composition_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;A;1;Symbols_represent_elements:_O_;0;2.391073674;-1.672888646;0.193458711
S052015D;S052015;0;1;S07;05D;8;S;5;Restricted_Use;No;Chemistry;Composition_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;B;1;Symbols_represent_elements:_NH3_;0;1.716961644;-1.23838457;0.063517998
S052015E;S052015;0;1;S07;05E;8;S;5;Restricted_Use;No;Chemistry;Composition_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;B;1;Symbols_represent_elements:_CH4_;0;1.796067264;-1.344628391;0.002037372
S052015F;S052015;0;1;S07;05F;8;S;5;Restricted_Use;No;Chemistry;Composition_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;A;1;Symbols_represent_elements:_Mg_;0;1.684221446;-1.207834068;0.001993978
S052021;;0;1;S01;04;8;S;5;Restricted_Use;Yes;Biology;Ecosystems;;0;0;1;0;0;0;0;0;0;0;0;0;3A;;Reasoning;CR;–;–;1;Organism_that_competes_with_humans;0;1.522952694;1.17646536;0.013607414
S052028;;0;1;S07;09;8;S;5;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;2B;;Applying;MC;4;A;1;Electromagnet_attracting_needles;0;1.335990668;1.56655694;0.31286706
S052038;;0;1;S07;12;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;;0;0;0;0;0;0;0;1;0;0;0;0;2A;;Knowing;MC;4;C;1;Energy_for_water_cycle;0;1.460697792;0.780745151;0.3964799
S052043A;S052043;0;0;S03;07A;8;S;5;Restricted_Use;No;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;B;1;1:Neutralizing_wasp_venom:_water;0;1.200791479;-1.942421457;0.006622517
S052043B;S052043;0;0;S03;07B;8;S;5;Restricted_Use;No;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;A;1;2:Neutralizing_wasp_venom:_lemon_juice;0;0.61736914;-1.594629689;0.018598123
S052043C;S052043;0;0;S03;07C;8;S;5;Restricted_Use;No;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;A;1;3:Neutralizing_wasp_venom:_vinegar;0;0.270460663;-1.522291906;0.134651164
S052043D;;0;;S03;07D;8;S;5;Restricted_Use;No;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;B;1;4:Neutralizing_wasp_venom:_baking_soda;0;1.667804222;1.804450736;0.405212641
S052051;;0;1;S07;06;8;S;5;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2A;;Reasoning;CR;–;–;1;Is_element_metal_or_nonmetal;0;0.956345378;1.518438812;0.039711186
S052054;;0;1;S01;07;8;S;5;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3B;;Applying;CR;–;–;1;Why_Solution_2_is_paler_than_1;0;1.027766354;-1.130694252;0.004994537
S052063;;0;0;S06;09;8;S;5;Restricted_Use;Yes;Chemistry;Chemical_Change;;0;0;0;0;1;0;0;0;0;0;0;0;2;B;Knowing;MC;4;C;1;Chemical_process_releases_energy;0;1.405082342;1.195341044;0.487449994
S052069;;0;;S01;02;8;S;5;Restricted_Use;Yes;Biology;Cells_and_Their_Functions;;0;1;0;0;0;0;0;0;0;0;0;0;1C;;Knowing;MC;4;C;1;Organism_with_cell_walls;0;2.111871607;1.894054537;0.238101091
S052071;;0;0;S06;02;8;S;5;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;3;A;Applying;MC;4;C;1;Birds_puff_up_feathers_in_cold_;0;1.199235724;0.505320966;0.108274662
S052076;;0;1;S05;01;8;S;5;Restricted_Use;Yes;Biology;Human_Health;;0;1;0;0;0;0;0;0;0;0;0;0;2B;;Knowing;MC;4;A;1;Best_source_of_carbohydrates;0;0.5546257;-0.592489228;0.012990451
S052085A;S052085;0;1;S05;03A;8;S;5;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;;0;0;1;0;0;0;0;0;0;0;0;0;1B;;Reasoning;CR;–;–;1;Crocodile_facts:_Why_well_suited;0;1.097278368;1.301528699;0.000436814
S052085B;S052085;0;1;S05;03B;8;S;5;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;;0;0;1;0;0;0;0;0;0;0;0;0;1A;;Reasoning;CR;–;–;1;Crocodile_facts:_Advantage_vision;0;0.927203644;-1.400504255;0.009456681
S052090B;;0;;S07;01B;8;S;5;Restricted_Use;Yes;Biology;Human_Health;;1;0;0;0;0;0;0;0;0;0;0;0;1A;;Applying;CR;–;–;1;Influenza:_How_is_it_spread;0;1.784230483;2.24186283;0.083656172
S052092A;S052092;0;0;S03;02A;8;S;5;Restricted_Use;No;Biology;Characteristics_and_Life_Processes_of_Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;;;1;Features_of_animal_groups:_mammals;0;0.768998101;-1.732572848;0.007202229
S052092B;S052092;0;0;S03;02B;8;S;5;Restricted_Use;No;Biology;Characteristics_and_Life_Processes_of_Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;;;1;Features_of_animal_groups:_amphibians;0;0.390899501;2.61738648;0.082681253
S052092C;S052092;0;0;S03;02C;8;S;5;Restricted_Use;No;Biology;Characteristics_and_Life_Processes_of_Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;;;1;Features_of_animal_groups:_fish;0;0.552292987;0.316690244;0.004293879
S052092D;S052092;0;0;S03;02D;8;S;5;Restricted_Use;No;Biology;Characteristics_and_Life_Processes_of_Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;;;1;Features_of_animal_groups:_birds;0;0.926446329;-1.562813743;0.007334905
S052094;;0;1;S05;04;8;S;5;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1A;;Applying;CR;–;–;1;Similarity_between_bird_and_frog;0;0.764438636;0.772879215;0.004308614
S052095C;S052095;0;1;S01;05C;8;S;5;Restricted_Use;No;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3A;;Applying;MC;2;B;1;Garden_with_bird_feeder:_cat+mouse;0;0.947926311;-2.237740936;0.015904568
S052095D;S052095;0;1;S01;05D;8;S;5;Restricted_Use;No;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3A;;Applying;MC;2;A;1;Garden_with_bird_feeder:_mouse+birds;0;0.819326206;-1.915027804;0.023837439
S052096;;0;0;S06;13;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_s_Resources_Their_Use_and_Conservation;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;A;1;Non-renewable_energy_source;0;1.476692074;-1.405140794;0.031650077
S052099;;0;1;S07;13;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_s_Resources_Their_Use_and_Conservation;;0;0;0;0;0;0;1;0;0;0;0;0;1C;;Applying;CR;–;–;1;Trees_protect_soil_from_erosion;0;1.294464252;0.72243301;0.177631856
S052101;;0;1;S05;12;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_s_Structure_and_Physical_Features;;0;0;0;0;0;0;0;0;1;0;0;0;1A;;Reasoning;CR;–;–;1;Information_from_volcanic_eruption;0;0.44898084;2.196115288;0.063133145
S052107;;0;1;S05;14;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;1;0;0;0;0;0;1A;;Applying;MC;4;C;1;Constellation_below_horizon;0;1.141646001;1.016995414;0.189869208
S052110;;0;0;S06;15;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;1;0;0;0;0;0;2;A;Applying;CR;;;1;Weight_less_on_Moon_than_Earth;0;1.582001909;1.304560132;0.057267929
S052112A;S052112;0;1;S01;11A;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;1;0;0;0;0;0;2B;;Applying;MC;4;D;1;Planets:_Shortest_day_length;0;0.792466461;-0.703532276;0.157116274
S052112B;S052112;0;1;S01;11B;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;0;1;0;0;0;2B;;Reasoning;CR;–;–;1;Planets:_Distance_from_Sun_;0;1.034143262;0.519518198;0.001228303
S052113;;0;1;S05;13;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;;0;0;0;0;0;0;1;0;0;0;0;0;3B;;Applying;MC;4;A;1;Climate_of_city_near_Equator;0;1.129231642;-0.165365679;0.081833961
S052118;;0;1;S07;14;8;S;5;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;;0;0;0;0;0;0;0;0;1;0;0;0;2B;;Reasoning;CR;–;–;1;Claim_that_moon_travels_around_Sun;0;1.958910207;1.055211098;0.083060457
S052125;;0;0;S06;06;8;S;5;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;MC;4;D;1;Body_parts_as_organ_systems;0;1.528491064;-0.458693385;0.450462102
S052130;;0;1;S07;08;8;S;5;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;0;1;0;1B;;Knowing;MC;4;D;1;Gas_inside_ping-pong_ball;0;0.671535878;1.733020883;0.170389331
S052134;;0;;S01;06;8;S;5;Restricted_Use;No;Chemistry;Composition_of_Matter;;0;0;0;0;1;0;0;0;0;0;0;0;1B;;Knowing;MC;4;B;1;Number_of_atoms_in_NaOH;0;1.664726645;2.402796887;0.297300744
S052141;;0;0;S06;12;8;S;5;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;1;0;0;2;B;Applying;CR;;;1;Pressure_from_wooden_block;0;1.381443086;0.950289116;0.000891158
S052144;;0;1;S05;09;8;S;5;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;0;1;0;1A;;Knowing;MC;4;D;1;Easy_to_compress_gases;0;1.518086828;0.699218569;0.229324923
S052145;;0;0;S06;07;8;S;5;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;0;1;0;0;0;0;0;0;1;B;Reasoning;CR;;;1;State_of_water_mercury_iron;0;1.374455765;0.110108289;0.011071797
S052146;;0;1;S05;06;8;S;5;Restricted_Use;Yes;Physics;Motion_and_Forces;;0;0;0;0;0;0;0;0;0;1;0;0;3B;;Applying;CR;–;–;1;Density_of_corn_oil_and_aluminum;0;1.493943475;0.927891503;0.101585741
S052179;;0;0;S03;09;8;S;5;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;C;Applying;MC;4;B;1;Temperature_of_three_containers;0;1.024337746;1.417742167;0.254237294
S052189;;0;1;S07;10;8;S;5;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;0;0;1;0;0;0;0;0;0;3C;;Reasoning;CR;–;–;1;Paint_chip_in_test_tubes;0;1.452415485;0.809214241;0.161820744
S052192;;0;0;S06;10;8;S;5;Restricted_Use;Yes;Physics;Light_and_Sound;;0;0;0;0;0;0;0;0;0;0;0;1;1;C;Reasoning;MC;4;A;1;Mirror_behind_screen;0;1.535787421;-0.221673928;0.022146534
S052194;;0;0;S03;08;8;S;5;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;;0;0;0;0;0;0;0;0;0;0;0;1;1;A;Reasoning;MC;4;C;1;Particles_in_Samples_X_and_Y;0;0.913748215;0.202747299;0.11737486
S052206;;0;1;S01;10;8;S;5;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;0;1;0;2A;;Knowing;MC;4;A;1;Two_bar_magnets_repelling_;0;1.105870914;0.03686376;0.074739823
S052214;;0;1;S05;10;8;S;5;Restricted_Use;Yes;Physics;Motion_and_Forces;;0;0;0;0;0;0;0;0;0;0;0;1;3B;;Reasoning;CR;–;–;1;Recognize_liquids_from_density;0;1.625623173;0.739309821;0.224107579
S052217;;0;1;S07;11;8;S;5;Restricted_Use;Yes;Physics;Motion_and_Forces;;0;0;0;0;0;0;0;0;0;1;0;0;3C;;Applying;MC;4;B;1;Water_pressure_on_fish;0;1.093099479;2.708083481;0.408939739
S052232;;0;0;S06;11;8;S;5;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;0;0;1;3;B;Reasoning;MC;4;D;1;Bell_on_Rami_s_bike;0;0.893987712;0.090430519;0.016519425
S052233;;0;0;S03;10;8;S;5;Restricted_Use;Yes;Physics;Forces_and_Motion;;0;0;0;0;0;0;0;0;0;0;0;1;1;A;Reasoning;CR;;;1;Object_X_floating_in_Liquids_ABC;0;0.759795553;2.356074315;0.004016951
S052243A;S052243;0;1;S01;09A;8;S;5;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;0;0;1;1B;;Reasoning;CR;–;–;1;Model_flashlight:_Bulb_won_t_light;0;0.381062899;0.539622922;0.014554274
S052243B;S052243;0;1;S01;09B;8;S;5;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;1B;;Applying;CR;–;–;1;Model_flashlight:_2_parallel_bulbs;0;0.799834478;0.228316396;0.002516369
S052243C;S052243;0;1;S01;09C;8;S;5;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;;0;0;0;0;0;0;0;0;0;0;0;1;1B;;Reasoning;MC;4;C;1;Model_flashlights:_Comparison_;0;0.578560613;0.110381153;0.003618582
S052246;;0;0;S06;03;8;S;5;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;;1;0;0;0;0;0;0;0;0;0;0;0;2;B;Applying;MC;4;A;1;Limbs_from_different_organisms;0;0.626462161;-1.093952581;0.03088465
S052248;;0;1;S05;05;8;S;5;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;;1;0;0;0;0;0;0;0;0;0;0;0;1A;;Applying;MC;4;B;1;Cavefish_with_no_eyes;0;1.352257749;1.133689894;0.394338656
S052256;;0;0;S03;06;8;S;5;Restricted_Use;Yes;Chemistry;Properties_of_Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3;B;Applying;MC;4;D;1;Cause_distilled_water_taste;0;1.718224629;0.827523545;0.239026253
