Item ID;UNIT;repeated;New_Cycle;Block;Block Seq;Grade;Subject;Cycle;"Secured
Status";"Scaling
Status";Content Domain;Topic Area;;Biology_Applying;Biology_Knowing;Biology_Reasoning;Chemistry_Applying;Chemistry_Knowing;Chemistry_Reasoning;Earth_Applying;Earth_Knowing;Earth_Reasoning;Physics_Applying;Physics_Knowing;Physics_Reasoning;Topic;Performance Objective;Cognitive Domain;Item_Type;Options;Key;Maximum Points;Label;derived;a;b;c
S042176;;0;0;S05;11;8;S;4;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;0;0;1;2;B;Reasoning;CR;-;-;1;Flasks contain fresh & salt water;0;1.587268106;-0.919402509;0.076086055
S042182;;0;0;S05;06;8;S;4;Restricted Use;Yes;Physics;Energy Transformation and Transfer;;0;0;0;0;0;0;0;0;0;0;1;0;1;A;Knowing;MC;4;C;1;Type of energy compressed spring;0;1.018672118;2.240407936;0.149738804
S042195;;0;0;S01;11;8;S;4;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;1;C;Applying;CR;-;-;1;What is resistance in a circuit;0;0.368962267;-0.90994747;0.008705399
S042211;;0;0;S05;12;8;S;4;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;CR;-;-;1;Forces on student sitting on wall ;0;1.687681297;-0.378497372;0.260297472
S042216;;0;0;S01;07;8;S;4;Restricted Use;Yes;Physics;Light and Sound;;0;0;0;0;0;0;0;0;0;1;0;0;1;D;Applying;MC;4;D;1;Student reading a book;0;0.613761093;-1.032486111;0.216521691
S042217;;0;0;S07;15;8;S;4;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;B;1;Shadow of a tree on a sunny day;0;1.40669588;-0.370962868;0.088174481
S042218;;0;0;S07;09;8;S;4;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;MC;4;B;1;Why does a balloon with helium rise;0;1.125187188;-0.07287319;0.119054953
S042222A;S042222;0;0;S07;05A;8;S;4;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;-;-;1;Life cycle stage monarch grows;0;1.346435179;-2.921442595;0.009421447
S042222B;S042222;0;0;S07;05B;8;S;4;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;CR;-;-;1;Life cycle stage monarch develops;0;0.809925328;-0.981308488;0.023267077
S042222C;S042222;0;0;S07;05C;8;S;4;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;MC;4;B;1;Advantage for viceroy butterfly;0;1.512410144;0.655780028;0.465833622
S042228A;S042228;0;0;S05;08A;8;S;4;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;-;-;1;Volume of the neck chain;0;2.094705145;-2.33836565;0.030303802
S042228B;S042228;0;0;S05;08B;8;S;4;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2;A;Reasoning;CR;-;-;1;Complete table 3 with percent gold;0;0.908435027;1.750844549;0.01892835
S042228C;S042228;0;0;S05;08C;8;S;4;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2;A;Applying;CR;-;-;1;Neck chain with most gold;0;0.690289252;-0.179755977;0.003207989
S042257;;0;0;S05;14;8;S;4;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;C;Knowing;MC;4;B;1;What causes the phases of the moon;0;0.800440711;-1.655643706;0.321171451
S042258;;0;0;S01;01;8;S;4;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;C;Applying;MC;4;C;1;Function lungs-skin-kidneys share;0;1.453848103;0.0106983;0.293019153
S042273;;0;0;S07;12;8;S;4;Restricted Use;Yes;Physics;Light and Sound;;0;0;0;0;0;0;0;0;0;1;0;0;1;A;Applying;CR;-;-;1;Seeing lightning & hearing thunder;0;1.231303377;-0.284504936;0.008390911
S042280;;0;0;S07;07;8;S;4;Restricted Use;Yes;Physics;Light and Sound;;0;0;0;0;0;0;0;0;0;0;0;1;2;B;Reasoning;MC;4;D;1;Relative speed of sound;0;1.073904251;0.633323353;0.00822954
S042293B;;0;0;S01;10B;8;S;4;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;0;0;1;3;C;Reasoning;CR;-;-;1;Ball bouncing up again;0;1.066615647;-2.640415259;0.005548092
S042300A;S042300;0;0;S01;04A;8;S;4;Restricted Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;CR;-;-;1;O2-CO2 release-removal: animals;0;2.616222269;-0.298683004;0.063176239
S042300C;S042300;0;0;S01;04C;8;S;4;Restricted Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;CR;-;-;1;O2-CO2 release-removal: photosyn.;0;1.832012762;-0.729547283;0.14877496
S042301;;0;0;S07;13;8;S;4;Restricted Use;Yes;Earth Science;Earth's Processes, Cycles, and History;;0;0;0;0;0;0;0;1;0;0;0;0;1;B;Knowing;CR;-;-;1;What causes an earthquake;0;0.889663678;-0.017729912;0.007794838
S042309;;0;0;S05;04;8;S;4;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;1;0;0;0;0;0;0;0;0;0;0;0;1;A;Applying;MC;4;D;1;Giraffes with short and long necks;0;0.769541817;-2.72156987;0.462038454
S042312;;0;0;S07;14;8;S;4;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;C;1;What rotation of Earth causes;0;0.736447535;-0.071644685;0.444721845
S042319;;0;0;S01;05;8;S;4;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;0;0;1;0;0;0;0;0;0;0;0;0;1;B;Reasoning;CR;-;-;1;Designing plant growth experiment;0;1.549898226;-1.82798665;0.000910596
S042400;;0;0;S01;12;8;S;4;Restricted Use;Yes;Physics;Energy Transformation and Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;C;Applying;CR;-;-;1;Wood/metal container to keep ice;0;1.004527889;-1.023857619;0.001285516
S042402;;0;0;S05;07;8;S;4;Restricted Use;Yes;Physics;Energy Transformation and Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;A;Applying;CR;-;-;1;Heat flow in metal cubes;0;1.025278898;-1.97910706;0.023176736
S042406;;0;0;S07;16;8;S;4;Restricted Use;Yes;Earth Science;Earth's Structure and Physical Features;;0;0;0;0;0;0;1;0;0;0;0;0;1;D;Applying;CR;-;-;1;Direction river flows;0;0.986568272;-0.946540911;0.025936974
S042408;;0;0;S05;02;8;S;4;Restricted Use;Yes;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3;B;Applying;CR;-;-;1;Birds can't survive without plants;0;0.824017096;-1.683662835;0.096723314
S052012;;0;1;S01;03;8;S;5;Restricted Use;Yes;Biology;Ecosystems;;0;1;0;0;0;0;0;0;0;0;0;0;1B;;Knowing;MC;4;B;1;How decomposers get energy;0;1.710188839;-0.177527711;0.249061469
S052015D;S052015;0;1;S07;05D;8;S;5;Restricted Use;No;Chemistry;Composition of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;B;1;Symbols represent elements: NH3 ;0;1.716961644;2.126258807;0.063517998
S052015E;S052015;0;1;S07;05E;8;S;5;Restricted Use;No;Chemistry;Composition of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;B;1;Symbols represent elements: CH4 ;0;1.796067264;2.415043035;0.002037372
S052015F;S052015;0;1;S07;05F;8;S;5;Restricted Use;No;Chemistry;Composition of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;2A;;Applying;MC;2;A;1;Symbols represent elements: Mg ;0;1.684221446;2.034260042;0.001993978
S052021;;0;1;S01;04;8;S;5;Restricted Use;Yes;Biology;Ecosystems;;0;0;1;0;0;0;0;0;0;0;0;0;3A;;Reasoning;CR;–;–;1;Organism that competes with humans;0;1.522952694;-1.791701089;0.013607414
S052028;;0;1;S07;09;8;S;5;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;2B;;Applying;MC;4;A;1;Electromagnet attracting needles;0;1.335990668;-2.092905453;0.31286706
S052038;;0;1;S07;12;8;S;5;Restricted Use;Yes;Earth Science;Earth's Processes, Cycles, and History;;0;0;0;0;0;0;0;1;0;0;0;0;2A;;Knowing;MC;4;C;1;Energy for water cycle;0;1.460697792;-1.140432718;0.3964799
S052043A;S052043;0;0;S03;07A;8;S;5;Restricted Use;No;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;B;1;1:Neutralizing wasp venom: water;0;1.200791479;2.332443135;0.006622517
S052043B;S052043;0;0;S03;07B;8;S;5;Restricted Use;No;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;A;1;2:Neutralizing wasp venom: lemon juice;0;0.61736914;0.98447516;0.018598123
S052043C;S052043;0;0;S03;07C;8;S;5;Restricted Use;No;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;4;C;Applying;MC;2;A;1;3:Neutralizing wasp venom: vinegar;0;0.270460663;0.411720078;0.134651164
S052051;;0;1;S07;06;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;0;1;0;0;0;0;0;0;2A;;Reasoning;CR;–;–;1;Is element metal or nonmetal;0;0.956345378;-1.452151939;0.039711186
S052054;;0;1;S01;07;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3B;;Applying;CR;–;–;1;Why Solution 2 is paler than 1;0;1.027766354;1.162089508;0.004994537
S052063;;0;0;S06;09;8;S;5;Restricted Use;Yes;Chemistry;Chemical Change;;0;0;0;0;1;0;0;0;0;0;0;0;2;B;Knowing;MC;4;C;1;Chemical process releases energy;0;1.405082342;-1.679552594;0.487449994
S052071;;0;0;S06;02;8;S;5;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;3;A;Applying;MC;4;C;1;Birds puff up feathers in cold ;0;1.199235724;-0.605998954;0.108274662
S052076;;0;1;S05;01;8;S;5;Restricted Use;Yes;Biology;Human Health;;0;1;0;0;0;0;0;0;0;0;0;0;2B;;Knowing;MC;4;A;1;Best source of carbohydrates;0;0.5546257;0.328609753;0.012990451
S052085A;S052085;0;1;S05;03A;8;S;5;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;0;0;1;0;0;0;0;0;0;0;0;0;1B;;Reasoning;CR;–;–;1;Crocodile facts: Why well suited;0;1.097278368;-1.428139287;0.000436814
S052085B;S052085;0;1;S05;03B;8;S;5;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;0;0;1;0;0;0;0;0;0;0;0;0;1A;;Reasoning;CR;–;–;1;Crocodile facts: Advantage vision;0;0.927203644;1.298552648;0.009456681
S052090A;;0;1;S07;01A;8;S;5;Restricted Use;Yes;Biology;Human Health;;0;1;0;0;0;0;0;0;0;0;0;0;1A;;Knowing;MC;4;A;1;Influenza: Cause ;0;0.098600556;0.594647951;0.11786959
S052092A;S052092;0;0;S03;02A;8;S;5;Restricted Use;No;Biology;Characteristics and Life Processes of Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;-;-;1;Features of animal groups: mammals;0;0.768998101;1.33234523;0.007202229
S052092B;S052092;0;0;S03;02B;8;S;5;Restricted Use;No;Biology;Characteristics and Life Processes of Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;-;-;1;Features of animal groups: amphibians;0;0.390899501;-1.023135069;0.082681253
S052092C;S052092;0;0;S03;02C;8;S;5;Restricted Use;No;Biology;Characteristics and Life Processes of Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;-;-;1;Features of animal groups: fish;0;0.552292987;-0.174905801;0.004293879
S052092D;S052092;0;0;S03;02D;8;S;5;Restricted Use;No;Biology;Characteristics and Life Processes of Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;1;A;Knowing;CR;-;-;1;Features of animal groups: birds;0;0.926446329;1.447863055;0.007334905
S052094;;0;1;S05;04;8;S;5;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;1A;;Applying;CR;–;–;1;Similarity between bird and frog;0;0.764438636;-0.590818732;0.004308614
S052095C;S052095;0;1;S01;05C;8;S;5;Restricted Use;No;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3A;;Applying;MC;2;B;1;Garden with bird feeder: cat+mouse;0;0.947926311;2.12121351;0.015904568
S052095D;S052095;0;1;S01;05D;8;S;5;Restricted Use;No;Biology;Ecosystems;;1;0;0;0;0;0;0;0;0;0;0;0;3A;;Applying;MC;2;A;1;Garden with bird feeder: mouse+birds;0;0.819326206;1.569032465;0.023837439
S052096;;0;0;S06;13;8;S;5;Restricted Use;Yes;Earth Science;Earth's Resources, Their Use and Conservation;;0;0;0;0;0;0;0;1;0;0;0;0;1;A;Knowing;MC;4;A;1;Non-renewable energy source;0;1.476692074;2.074960273;0.031650077
S052099;;0;1;S07;13;8;S;5;Restricted Use;Yes;Earth Science;Earth's Resources, Their Use and Conservation;;0;0;0;0;0;0;1;0;0;0;0;0;1C;;Applying;CR;–;–;1;Trees protect soil from erosion;0;1.294464252;-0.935163705;0.177631856
S052101;;0;1;S05;12;8;S;5;Restricted Use;Yes;Earth Science;Earth's Structure and Physical Features;;0;0;0;0;0;0;0;0;1;0;0;0;1A;;Reasoning;CR;–;–;1;Information from volcanic eruption;0;0.44898084;-0.986013686;0.063133145
S052107;;0;1;S05;14;8;S;5;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;1;0;0;0;0;0;1A;;Applying;MC;4;C;1;Constellation below horizon;0;1.141646001;-1.161048748;0.189869208
S052110;;0;0;S06;15;8;S;5;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;1;0;0;0;0;0;2;A;Applying;CR;-;-;1;Weight less on Moon than Earth;0;1.582001909;-2.063816619;0.057267929
S052112A;S052112;0;1;S01;11A;8;S;5;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;1;0;0;0;0;0;2B;;Applying;MC;4;D;1;Planets: Shortest day length;0;0.792466461;0.557525733;0.157116274
S052112B;S052112;0;1;S01;11B;8;S;5;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;0;1;0;0;0;2B;;Reasoning;CR;–;–;1;Planets: Distance from Sun ;0;1.034143262;-0.537256244;0.001228303
S052113;;0;1;S05;13;8;S;5;Restricted Use;Yes;Earth Science;Earth's Processes, Cycles, and History;;0;0;0;0;0;0;1;0;0;0;0;0;3B;;Applying;MC;4;A;1;Climate of city near Equator;0;1.129231642;0.186736157;0.081833961
S052118;;0;1;S07;14;8;S;5;Restricted Use;Yes;Earth Science;Earth in the Solar System and the Universe;;0;0;0;0;0;0;0;0;1;0;0;0;2B;;Reasoning;CR;–;–;1;Claim that moon travels around Sun;0;1.958910207;-2.06706379;0.083060457
S052125;;0;0;S06;06;8;S;5;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2;A;Applying;MC;4;D;1;Body parts as organ systems;0;1.528491064;0.70110874;0.450462102
S052130;;0;1;S07;08;8;S;5;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;0;1;0;1B;;Knowing;MC;4;D;1;Gas inside ping-pong ball;0;0.671535878;-1.163785701;0.170389331
S052141;;0;0;S06;12;8;S;5;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;1;0;0;2;B;Applying;CR;-;-;1;Pressure from wooden block;0;1.381443086;-1.312770328;0.000891158
S052144;;0;1;S05;09;8;S;5;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;0;1;0;1A;;Knowing;MC;4;D;1;Easy to compress gases;0;1.518086828;-1.0614745;0.229324923
S052145;;0;0;S06;07;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;0;1;0;0;0;0;0;0;1;B;Reasoning;CR;-;-;1;State of water, mercury, iron;0;1.374455765;-0.151338973;0.011071797
S052146;;0;1;S05;06;8;S;5;Restricted Use;Yes;Physics;Motion and Forces;;0;0;0;0;0;0;0;0;0;1;0;0;3B;;Applying;CR;–;–;1;Density of corn oil and aluminum;0;1.493943475;-1.386217455;0.101585741
S052150;;0;1;S01;08;8;S;5;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;0;1;0;3A;;Knowing;MC;4;D;1;Which is a physical change;0;0.695522782;-2.281324427;0.289227486
S052179;;0;0;S03;09;8;S;5;Restricted Use;Yes;Physics;Energy Transformation and Transfer;;0;0;0;0;0;0;0;0;0;1;0;0;2;C;Applying;MC;4;B;1;Temperature of three containers;0;1.024337746;-1.452246816;0.254237294
S052189;;0;1;S07;10;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;0;1;0;0;0;0;0;0;3C;;Reasoning;CR;–;–;1;Paint chip in test tubes;0;1.452415485;-1.175315294;0.161820744
S052192;;0;0;S06;10;8;S;5;Restricted Use;Yes;Physics;Light and Sound;;0;0;0;0;0;0;0;0;0;0;0;1;1;C;Reasoning;MC;4;A;1;Mirror behind screen;0;1.535787421;0.34044403;0.022146534
S052194;;0;0;S03;08;8;S;5;Restricted Use;Yes;Physics;Physical States and Changes in Matter;;0;0;0;0;0;0;0;0;0;0;0;1;1;A;Reasoning;MC;4;C;1;Particles in Samples X and Y;0;0.913748215;-0.185259982;0.11737486
S052206;;0;1;S01;10;8;S;5;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;0;1;0;2A;;Knowing;MC;4;A;1;Two bar magnets repelling ;0;1.105870914;-0.040766561;0.074739823
S052214;;0;1;S05;10;8;S;5;Restricted Use;Yes;Physics;Motion and Forces;;0;0;0;0;0;0;0;0;0;0;0;1;3B;;Reasoning;CR;–;–;1;Recognize liquids from density;0;1.625623173;-1.201839177;0.224107579
S052217;;0;1;S07;11;8;S;5;Restricted Use;Yes;Physics;Motion and Forces;;0;0;0;0;0;0;0;0;0;1;0;0;3C;;Applying;MC;4;B;1;Water pressure on fish;0;1.093099479;-2.960204643;0.408939739
S052232;;0;0;S06;11;8;S;5;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;0;0;1;3;B;Reasoning;MC;4;D;1;Bell on Rami's bike;0;0.893987712;-0.080843773;0.016519425
S052233;;0;0;S03;10;8;S;5;Restricted Use;Yes;Physics;Forces and Motion;;0;0;0;0;0;0;0;0;0;0;0;1;1;A;Reasoning;CR;-;-;1;Object X floating in Liquids A,B,C;0;0.759795553;-1.790134787;0.004016951
S052243A;S052243;0;1;S01;09A;8;S;5;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;0;0;1;1B;;Reasoning;CR;–;–;1;Model flashlight: Bulb won't light;0;0.381062899;-0.205630275;0.014554274
S052243B;S052243;0;1;S01;09B;8;S;5;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;1;0;0;1B;;Applying;CR;–;–;1;Model flashlight: 2 parallel bulbs;0;0.799834478;-0.182615325;0.002516369
S052243C;S052243;0;1;S01;09C;8;S;5;Restricted Use;Yes;Physics;Electricity and Magnetism;;0;0;0;0;0;0;0;0;0;0;0;1;1B;;Reasoning;MC;4;C;1;Model flashlights: Comparison ;0;0.578560613;-0.063862187;0.003618582
S052246;;0;0;S06;03;8;S;5;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;1;0;0;0;0;0;0;0;0;0;0;0;2;B;Applying;MC;4;A;1;Limbs from different organisms;0;0.626462161;0.685319898;0.03088465
S052248;;0;1;S05;05;8;S;5;Restricted Use;Yes;Biology;Diversity, Adaptation, and Natural Selection;;1;0;0;0;0;0;0;0;0;0;0;0;1A;;Applying;MC;4;B;1;Cavefish with no eyes;0;1.352257749;-1.533040945;0.394338656
S052256;;0;0;S03;06;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;1;0;0;0;0;0;0;0;0;3;B;Applying;MC;4;D;1;Cause distilled water taste;0;1.718224629;-1.421871336;0.239026253
S052261;;0;0;S03;01;8;S;5;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;0;1;0;0;0;0;0;0;0;0;0;0;3;A;Knowing;MC;4;B;1;Why people shiver when cold;0;0.66670337;0.478858222;0.091882718
S052262;;0;1;S07;02;8;S;5;Restricted Use;Yes;Biology;Characteristics and Life Processes of Organisms;;1;0;0;0;0;0;0;0;0;0;0;0;2C;;Applying;MC;4;A;1;Biceps and triceps ;0;0.755302904;-0.554396381;0.260369616
S052263A;S052263;0;0;S03;03A;8;S;5;Restricted Use;Yes;Biology;Cells and Their Functions;;0;0;1;0;0;0;0;0;0;0;0;0;2;B;Reasoning;CR;-;-;1;Cellular respiration: tubes 1 & 2;0;1.428454851;-1.9663254;0.001655568
S052263B;S052263;0;0;S03;03B;8;S;5;Restricted Use;Yes;Biology;Cells and Their Functions;;0;0;1;0;0;0;0;0;0;0;0;0;2;B;Reasoning;CR;-;-;1;Cellular respiration: tube 4;0;2.013439119;-2.084925338;0.043623471
S052265;;0;0;S03;04;8;S;5;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;1;0;0;0;0;0;0;0;0;0;0;0;2;B;Applying;CR;-;-;1;Manx cats bred together;0;1.134831947;-1.976873181;0.00050306
S052267;;0;1;S07;03;8;S;5;Restricted Use;Yes;Biology;Life Cycles, Reproduction, and Heredity;;0;1;0;0;0;0;0;0;0;0;0;0;2C;;Knowing;MC;4;C;1;Acquired characteristics;0;1.136017892;-2.52988504;0.225741082
S052272;;0;1;S05;02;8;S;5;Restricted Use;Yes;Biology;Ecosystems;;0;0;1;0;0;0;0;0;0;0;0;0;4B;;Reasoning;CR;–;–;1;Trout and frog populations;0;1.081623413;1.10534585;0.002160963
S052276;;0;0;S06;04;8;S;5;Restricted Use;Yes;Biology;Human Health;;0;1;0;0;0;0;0;0;0;0;0;0;2;B;Knowing;MC;4;D;1;Good source of calcium;0;0.797806002;1.253370522;0.007219851
S052280;;0;0;S03;05;8;S;5;Restricted Use;Yes;Chemistry;Properties of Matter;;0;0;0;0;1;0;0;0;0;0;0;0;2;B;Knowing;MC;4;A;1;Property of nonmetals;0;0.782037789;0.035049752;0.119192025
